id,name,
138,Gut Stretense GmbH,
139,Bistro - Brasserie Sachs Unternehmer gesellschaft ( haftungsbeschränkt ),
140,F & K Auto mobile GmbH,
141,Klima dienst Cooling & Systems GmbH,
142,"MAP Management , Ausführung , Projektierung UG ( haftungsbeschränkt )",
143,EGR Elektro - Geräte Recycling GmbH,
144,Partisan Vertriebs GmbH,
145,Galina Schibilski Pelze,
146,CFE Management GmbH,
147,Fahr service Thomas Rapp e . K .,
148,Beschriftungs & Graviertechnik Schwarz Verwaltungs GmbH,
149,MARKOTEC LTD . Niederlassung Deutschland,
150,Idee und los GmbH,
151,DeCon DeCoating Control GmbH,
152,INSPECVISION Deutschland GmbH,
153,Klaus Kroschke Holding Beteiligungs - und Geschäfts führung gesellschaft mbH,
154,Auto land Harz GmbH,
155,Imperial - Werke oHG,
156,Mein Schnäppchen paradies GmbH,
157,Hahn Metall bau GmbH,
158,Bau unternehmung Schuhegger GmbH,
159,Bischoff Beteiligungs GmbH,
160,TEA Tief - und Erd bau GmbH,
161,Beichler & Grünen wald Verpachtung KG,
162,Göttinger Wohnung bau Kurth GmbH,
163,D + S Erd bau - GmbH,
164,AGO AG Energie + Anlagen,
165,Fläminger Getränke fach großhandel GmbH,
166,Eris Car - Design GmbH,
167,Breeze Four Energy GmbH & Co . KG,
168,AVANZA GmbH & Co . KG,
169,Lindner Group KG,
170,Imperial Immobilien und Facility Management e . Kfr .,
171,BG Immobilien GmbH Sinsheim,
172,Movemanagement GmbH,
173,Adhesive Products GmbH,
174,Avanti Technology Graf GmbH,
175,BVH BurkhardvonHarder Pictures GmbH,
176,Walter Perske GmbH,
177,St . Josefs - Hospital Wiesbaden GmbH,
178,AKW GmbH,
179,EXA EDV GmbH,
180,Jubel kind GmbH,
181,investadvice GmbH,
182,Altran Deutschland Holding GmbH,
183,H . Schäfer Immobilien GmbH,
184,Elektro Schmitter GmbH,
185,isyShare GmbH,
186,G . B . Verwaltungs GmbH,
187,CB Transporte und Dienst leistungen GmbH,
188,W . Linnepe GmbH & Co . KG,
189,Forst unternehmen Bergelt GmbH,
190,TORNADO XXL GmbH,
191,SIS - Ingenieure Saar GmbH,
192,G . D . City Bau GmbH,
193,DIBU Logistik & Dienstleistung GmbH,
194,DMT Produkt entwicklung AG,
195,Engelbertz GmbH,
196,Lisette Geiter GmbH & Co . KG,
197,SANI - THERM Wärme technik GmbH,
198,koellner . werbung Produktion gesellschaft mbH,
199,Design boden Manufaktur GmbH,
200,ISK GmbH Industriesteckverbinder Zubehör & Kabel konstruktion,
201,KLITRA Verwaltungs - GmbH,
202,Thule GmbH,
203,CMR Invest GmbH,
204,MINOLA - Solar energie GmbH & Co . KG,
205,Luna media GmbH,
206,BODEN DESIGN Durdu GmbH,
207,C & P Christa GmbH,
208,DEM Jooobs Personal service GmbH,
209,FKI - Führung kräfte Institut GmbH,
210,FHG Klockner Photovoltaikprojektgesellschaft mbH & Co . KG,
211,HETOM Beteiligungs GmbH & Co . Vermietungs - KG,
